id;object;cid;internal_review_id;is_user_local_guide;lang;place_id;published_at;published_at_datetime;pictures;response_from_owner;score;text;total_likes;total_reviews;user_name;user_link;user_internal_id;user_reviews_count;user_image_url;user_average_score;visited_in;collected_at;input_url;input_sort_by
443223;result;9,66E+18;ChZDSUhNMG9nS0VJQ0FnSUMwNHFtTURBEAE;f;de;ChIJvwTRBxe4kUcRfEUl0F_UF4Y;1,57E+12;2019-09-20 11:31:18.531+00;;;5;(Translated by Google) Excellent (Original) super;0;98;Pascal Leitner;https://www.google.com/maps/contrib/106166730122044442636/reviews;1,06E+20;14;https://lh3.googleusercontent.com/a/AGNmyxYOsqjXSoHWo0s0VYwC3oJkcoHwqHcbvbfdU4bi;04. Mai;;04 Mar 2023 07:51:16;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+M%C3%BCnchenstein+(ehem.+Uehlinger)/@47.524283760443517z/data=!3m1!4b1!4m6!3m5!1s0x4791b81707d104bf:0x8617d45fd025457c!8m2!3d47.524283!4d7.604435!16s%2Fg%2F1tgjk6dn;newest
443319;result;3,99E+18;ChdDSUhNMG9nS0VJQ0FnSUMta09Hd3B3RRAB;t;;ChIJF5STJ2cLkEcRDRye_BfHcDc;1,67E+12;2022-10-24 22:29:08.814+00;;(Translated by Google) Dear Mr. Zschokke Thank you very much for your good rating. We are really pleased that you were satisfied with our service. We look forward to seeing you again in our practice. Your VetTrust team in Regensdorf (Original) Sehr geehrter Herr Zschokke Vielen herzlichen Dank fÃ¼r ihre gute Bewertung. Es freut uns wirklich sehr, dass sie mit unserer Dienstleistung zufrieden waren. Wir freuen uns bereits auf ein Wiedersehen in unserer Praxis. Ihr VetTrust Team in Regensdorf;5;;0;114;Benjamin Zschokke;https://www.google.com/maps/contrib/116204467678591237503/reviews;1,16E+20;1;https://lh3.googleusercontent.com/a/AGNmyxb19PA6aChww4RZUrZ91MbSQoiR50OuIvnY9daz;04. Mrz;;04 Mar 2023 07:52:32;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Regensdorf/@47.42882168468693217z/data=!3m1!4b1!4m6!3m5!1s0x47900b6727939417:0x3770c717fc9e1c0d!8m2!3d47.4288216!4d8.4686932!16s%2Fg%2F1vfwbrx7;newest
443342;result;3,99E+18;ChdDSUhNMG9nS0VJQ0FnSUR5aDg2NW9BRRAB;t;;ChIJF5STJ2cLkEcRDRye_BfHcDc;1,62E+12;2021-03-19 13:29:28.758+00;;;5;;0;114;Patrick Herrmann;https://www.google.com/maps/contrib/118276182267714476291/reviews;1,18E+20;55;https://lh3.googleusercontent.com/a-/ACB-R5Q_2VQKAuK8bWrK8STWnPwi5RDfjcI8NkQjZjYrgu0;04. Mrz;;04 Mar 2023 07:52:45;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Regensdorf/@47.42882168468693217z/data=!3m1!4b1!4m6!3m5!1s0x47900b6727939417:0x3770c717fc9e1c0d!8m2!3d47.4288216!4d8.4686932!16s%2Fg%2F1vfwbrx7;newest
443454;result;2,87E+18;ChdDSUhNMG9nS0VJQ0FnSURTZ2NyT2l3RRAB;t;de;ChIJERk9VbMNkEcRPy81sQi1wic;1,61E+12;2020-12-28 09:58:10.297+00;;;5;(Translated by Google) Very pleasant experience. My cat and cat have felt very comfortable. We were looked after by a young doctor and she made us feel good. Appointments are easy to arrange and I was even allowed to come by spontaneously once. (Original) Sehr angenehme Erfahrung. Mein Kater und Katze haben sich sehr wohl gefÃ¼hlt. Wir wurden von einer jungen Ã„rztin betreut und sie gab uns ein gutes GefÃ¼hl. Termine sind unkompliziert vereinbar und 1x durfte ich sogar spontan vorbeikommen.;0;56;Salazar oder Hansruedi;https://www.google.com/maps/contrib/110507311716807984181/reviews;1,11E+20;48;https://lh3.googleusercontent.com/a/AGNmyxYOV7yC_VbcyRJb2W5LGm31rPboGdP1ASoUTNqA9A;4;;04 Mar 2023 07:54:02;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Schlieren+(ehem.+Sch%C3%B6negg)/@47.39949878441765117z/data=!3m1!4b1!4m6!3m5!1s0x47900db3553d1911:0x27c2b508b1352f3f!8m2!3d47.3994987!4d8.4417651!16s%2Fg%2F1v0ljpl0;newest
443197;result;9,66E+18;ChZDSUhNMG9nS0VJQ0FnSUR5Nk9HMGR3EAE;f;;ChIJvwTRBxe4kUcRfEUl0F_UF4Y;1,61E+12;2021-02-22 21:31:14.455+00;;;5;;0;98;Andreas Weiss;https://www.google.com/maps/contrib/108844919113050884336/reviews;1,09E+20;8;https://lh3.googleusercontent.com/a-/ACB-R5S7gD8IwGhdF0r2RNsfOsJRG52rybpTzz9qPSEo3g;04. Mai;;04 Mar 2023 07:51:02;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+M%C3%BCnchenstein+(ehem.+Uehlinger)/@47.524283760443517z/data=!3m1!4b1!4m6!3m5!1s0x4791b81707d104bf:0x8617d45fd025457c!8m2!3d47.524283!4d7.604435!16s%2Fg%2F1tgjk6dn;newest
443400;result;3,99E+18;ChdDSUhNMG9nS0VJQ0FnSUNJX3FxNTFnRRAB;f;;ChIJF5STJ2cLkEcRDRye_BfHcDc;1,54E+12;2018-11-18 08:35:40.239+00;;;4;;0;114;Alex Sette;https://www.google.com/maps/contrib/112537809416153313752/reviews;1,13E+20;0;https://lh3.googleusercontent.com/a/AGNmyxa22fWpUJZh2JmVIaQ9eEfRbYEve0Mc-tWaltp3;04. Mrz;;04 Mar 2023 07:53:24;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Regensdorf/@47.42882168468693217z/data=!3m1!4b1!4m6!3m5!1s0x47900b6727939417:0x3770c717fc9e1c0d!8m2!3d47.4288216!4d8.4686932!16s%2Fg%2F1vfwbrx7;newest
443256;result;1,49E+19;ChZDSUhNMG9nS0VJQ0FnSUM4X29DMlBREAE;t;de;ChIJ5-00QTwFkEcRG9Hk9XEzIM8;1,59E+12;2020-07-08 05:56:17.626+00;https://lh5.googleusercontent.com/p/AF1QipNQBM4X1w620yuFOdSGF37mkDVUUDFSf9zQErud, https://lh5.googleusercontent.com/p/AF1QipPjo4p69XNoByNDhALomJYaSuwp29lg48Rj4BkK;;5;(Translated by Google) Just such a great team. Our 2 cats feel good and they all look so good. I'm glad you exist. The animals are in good hands (Original) Einfach so ein tolles Team. Unsere 2 BÃ¼sis fÃ¼hlen sich wohl und alle schauen so gut. Bin froh,gibt es Euch. Die Tiere sind in guten HÃ¤ndenðŸ˜»ðŸ˜»;2;60;Jeannine Geissmann;https://www.google.com/maps/contrib/114596096118248741562/reviews;1,15E+20;49;https://lh3.googleusercontent.com/a-/ACB-R5TRpslfxzu8jMILzDvHDRh4rOvX93WWLGJIBoWi;04. Jun;;04 Mar 2023 07:51:41;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Muri/@47.2750328341246717z/data=!3m1!4b1!4m6!3m5!1s0x4790053c4134ede7:0xcf203371f5e4d11b!8m2!3d47.275032!4d8.3412467!16s%2Fg%2F1ptyg40r0;newest
443121;result;1,62E+19;ChdDSUhNMG9nS0VJQ0FnSUNleDlDdHlRRRAB;f;;ChIJf_mbzJQvkEcRicJ5NcgPDuE;1,66E+12;2022-09-25 13:36:37.647+00;;;5;;0;38;Meral Ziorjen;https://www.google.com/maps/contrib/113010908703762644232/reviews;1,13E+20;0;https://lh3.googleusercontent.com/a/AGNmyxYuPNNb5FcNfB2xtl9dJoUdRUrQMjNIHqw4eEiZ;04. Sep;;04 Mar 2023 07:50:11;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+M%C3%BChlebach+Oftringen/@47.31253927924791817z/data=!3m1!4b1!4m6!3m5!1s0x47902f94cc9bf97f:0xe10e0fc83579c289!8m2!3d47.3125392!4d7.9247918!16s%2Fg%2F1trvkbvp;newest
443119;result;1,62E+19;ChZDSUhNMG9nS0VJQ0FnSUNocS0tYmJnEAE;f;de;ChIJf_mbzJQvkEcRicJ5NcgPDuE;1,68E+12;2023-02-22 14:21:22.21+00;;(Translated by Google) Dear Ms. Stirnemann, thank you very much for your review. (Original) Liebe Frau Stirnemann, herzlichen Dank fÃ¼r Ihre Bewertung.;5;(Translated by Google) Very good and friendly welcome. (Original) Sehr gut und freundlich empfangen.;0;38;Anita Stirnemann;https://www.google.com/maps/contrib/110643377036483743235/reviews;1,11E+20;9;https://lh3.googleusercontent.com/a-/ACB-R5SPol3i-3onlIaLfIyGWQiZfjwiYRDqPKKk-l-YIg;04. Sep;;04 Mar 2023 07:50:11;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+M%C3%BChlebach+Oftringen/@47.31253927924791817z/data=!3m1!4b1!4m6!3m5!1s0x47902f94cc9bf97f:0xe10e0fc83579c289!8m2!3d47.3125392!4d7.9247918!16s%2Fg%2F1trvkbvp;newest
443364;result;3,99E+18;ChdDSUhNMG9nS0VJQ0FnSUQ4NmZxWnB3RRAB;t;;ChIJF5STJ2cLkEcRDRye_BfHcDc;1,60E+12;2020-07-20 14:16:13.297+00;;;5;;0;114;Roger Fritschi;https://www.google.com/maps/contrib/101299791537207649606/reviews;1,01E+20;21;https://lh3.googleusercontent.com/a-/ACB-R5T2ldP0A9AZzvLN3I_AqClmDdekgeumszWcrTMdYzU;04. Mrz;;04 Mar 2023 07:52:59;https://www.google.com/maps/place/VetTrust+Kleintierpraxis+Regensdorf/@47.42882168468693217z/data=!3m1!4b1!4m6!3m5!1s0x47900b6727939417:0x3770c717fc9e1c0d!8m2!3d47.4288216!4d8.4686932!16s%2Fg%2F1vfwbrx7;newest
